Manufacturer,Model,Description,Price,Rating,no. of reviews,url
Seagate,"FireCuda 530 2TB Solid State Drive - M.2 PCIe Gen4 ×4 NVMe 1.4, speeds up to 7300 MB/s, Compatible PS5 Internal SSD, 3D TLC NAND, 1275 TBW, 1.8M MTBF, 3yr Rescue Services (ZP2000GM30013) ","Seagate FireCuda 530 2TB Solid State Drive - M.2 PCIe Gen4 ×4 NVMe 1.4, speeds up to 7300 MB/s, Compatible PS5 Internal SSD, 3D TLC NAND, 1275 TBW, 1.8M MTBF, 3yr Rescue Services (ZP2000GM30013) ",$419.99,4.8 out of 5 stars,"1,379",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06328161KJ36YHO8CK7H&url=%2FSeagate-FireCuda-Solid-State-Drive%2Fdp%2FB08Q55DGGY%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880940%26sr%3D8-11-spons%26psc%3D1&qualifier=1635880940&id=3834662368688801&widgetName=sp_mtf
PNY,"CS900 120GB 3D NAND 2.5"" SATA III Internal Solid State Drive (SSD) - (SSD7CS900-120-RB) ","PNY CS900 120GB 3D NAND 2.5"" SATA III Internal Solid State Drive (SSD) - (SSD7CS900-120-RB) ",$21.99,4.7 out of 5 stars,"15,694",https://www.amazon.com/PNY-CS900-120GB-Internal-Solid/dp/B0722XPTL6/ref=sr_1_12?dchild=1&keywords=ssd&qid=1635880940&sr=8-12
SanDisk,"1TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-1T00-G25 ","SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-1T00-G25 ",$129.99,4.8 out of 5 stars,"46,708",https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_13?dchild=1&keywords=ssd&qid=1635880940&sr=8-13
Crucial,P2 1TB 3D NAND NVMe PCIe M.2 SSD Up to 2400MB/s - CT1000P2SSD8 ,Crucial P2 1TB 3D NAND NVMe PCIe M.2 SSD Up to 2400MB/s - CT1000P2SSD8 ,$83.99,4.8 out of 5 stars,"10,631",https://www.amazon.com/Crucial-NAND-NVMe-PCIe-2400MB/dp/B089DNM8LR/ref=sr_1_14?dchild=1&keywords=ssd&qid=1635880940&sr=8-14
WD_BLACK,"1TB SN750 SE NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 3,600 MB/s - WDS100T1B0E ","WD_BLACK 1TB SN750 SE NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 3,600 MB/s - WDS100T1B0E ",$99.99,4.8 out of 5 stars,"13,095",https://www.amazon.com/WD_BLACK-SN750-Internal-Gaming-Solid/dp/B095HB3L6G/ref=sr_1_15?dchild=1&keywords=ssd&qid=1635880940&sr=8-15
Crucial,"BX500 1TB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT1000BX500SSD1 ","Crucial BX500 1TB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT1000BX500SSD1 ",$84.99,4.8 out of 5 stars,"41,319",https://www.amazon.com/Crucial-BX500-NAND-2-5-Inch-Internal/dp/B07YD579WM/ref=sr_1_17?dchild=1&keywords=ssd&qid=1635880940&sr=8-17
WD_BLACK,"4TB AN1500 NVMe Internal Gaming Solid State Drive SSD Add-In-Card - Gen3 PCIe, Up to 6500 MB/s - WDS400T1X0L ","WD_BLACK 4TB AN1500 NVMe Internal Gaming Solid State Drive SSD Add-In-Card - Gen3 PCIe, Up to 6500 MB/s - WDS400T1X0L ",$999.99,4.1 out of 5 stars,85,https://www.amazon.com/WD_Black-AN1500-Internal-Gaming-Card/dp/B08HBPMPZ2/ref=sr_1_18?dchild=1&keywords=ssd&qid=1635880940&sr=8-18
SP,"256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SP256GBSS3A55S25) ","SP 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SP256GBSS3A55S25) ",$27.99,4.7 out of 5 stars,"6,569",https://www.amazon.com/Silicon-Power-Performance-Internal-SP256GBSS3A55S25/dp/B075RJS55D/ref=sr_1_19?dchild=1&keywords=ssd&qid=1635880940&sr=8-19
SK,hynix Gold S31 500GB SATA Gen3 2.5 inch Internal SSD | SSD 500GB | Up to 560MB/S | Solid State Drive | Compact 2.5' SSD Form Factor SK hynix SSD | Internal Solid State Drive | SATA SSD ,SK hynix Gold S31 500GB SATA Gen3 2.5 inch Internal SSD | SSD 500GB | Up to 560MB/S | Solid State Drive | Compact 2.5' SSD Form Factor SK hynix SSD | Internal Solid State Drive | SATA SSD ,$56.99,4.7 out of 5 stars,"12,393",https://www.amazon.com/SK-hynix-Gold-500GB-Internal/dp/B07SK5BNM1/ref=sr_1_20?dchild=1&keywords=ssd&qid=1635880940&sr=8-20
Crucial,"P5 Plus 500GB PCIe 4.0 3D NAND NVMe M.2 SSD, up to 6600MB/s - CT500P5PSSD8 ","Crucial P5 Plus 500GB PCIe 4.0 3D NAND NVMe M.2 SSD, up to 6600MB/s - CT500P5PSSD8 ",$90.99,4.8 out of 5 stars,"5,774",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A055385727T2KW56E675&url=%2FCrucial-Plus-500GB-PCIe-6600MB%2Fdp%2FB098W1NDV2%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880940%26sr%3D8-21-spons%26psc%3D1&qualifier=1635880940&id=3834662368688801&widgetName=sp_btf
U32,Shadow Dura 4TB USB-C Rugged Portable Solid State Drive SSD ,U32 Shadow Dura 4TB USB-C Rugged Portable Solid State Drive SSD ,$539.00,4.6 out of 5 stars,177,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04659873NEEO4TU2Z97N&url=%2FShadow-USB-C-Rugged-Portable-Solid%2Fdp%2FB086WNFLYH%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880940%26sr%3D8-22-spons%26psc%3D1&qualifier=1635880940&id=3834662368688801&widgetName=sp_btf
Manufacturer,Model,Description,Price,Rating,no. of reviews,url
Crucial,"MX500 4TB 3D NAND SATA 2.5 Inch Internal SSD, up to 560MB/s - CT4000MX500SSD1 ","Crucial MX500 4TB 3D NAND SATA 2.5 Inch Internal SSD, up to 560MB/s - CT4000MX500SSD1 ",$359.99,4.8 out of 5 stars,"46,155",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03069821QTKGY0SE2VLE&url=%2FCrucial-MX500-NAND-Internal-560MB%2Fdp%2FB09FRRWVWX%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880940%26sr%3D8-1-spons%26psc%3D1&qualifier=1635880940&id=3834662368688801&widgetName=sp_atf
Samsung,970 EVO Plus Series - 250GB PCIe NVMe - M.2 Internal SSD (MZ-V7S250B/AM) ,Samsung 970 EVO Plus Series - 250GB PCIe NVMe - M.2 Internal SSD (MZ-V7S250B/AM) ,$54.99,4.9 out of 5 stars,"28,863",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05760873KNMELCQF36CL&url=%2FSamsung-970-EVO-Plus-MZ-V7S250B%2Fdp%2FB07MG119KG%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880940%26sr%3D8-2-spons%26psc%3D1&qualifier=1635880940&id=3834662368688801&widgetName=sp_atf
Kingston,"240GB A400 SATA 3 2.5"" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance ","Kingston 240GB A400 SATA 3 2.5"" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance ",$27.99,4.8 out of 5 stars,"33,871",https://www.amazon.com/Kingston-240GB-Solid-SA400S37-240G/dp/B01N5IB20Q/ref=sr_1_3?dchild=1&keywords=ssd&qid=1635880940&sr=8-3
Samsung,"870 QVO SATA III 2.5"" SSD 2TB (MZ-77Q2T0B) ","Samsung 870 QVO SATA III 2.5"" SSD 2TB (MZ-77Q2T0B) ",$183.13,4.8 out of 5 stars,"11,041",https://www.amazon.com/SAMSUNG-870-QVO-SATA-MZ-77Q2T0B/dp/B089C6LZ42/ref=sr_1_4?dchild=1&keywords=ssd&qid=1635880940&sr=8-4
Western,"Digital 500GB WD Blue 3D NAND Internal PC SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS500G2B0A ","Western Digital 500GB WD Blue 3D NAND Internal PC SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS500G2B0A ",$54.99,4.8 out of 5 stars,"25,665",https://www.amazon.com/Blue-NAND-500GB-SSD-WDS500G2B0A/dp/B073SBZ8YH/ref=sr_1_5?dchild=1&keywords=ssd&qid=1635880940&sr=8-5
Samsung,870 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-77E500B/AM) ,Samsung 870 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-77E500B/AM) ,$79.99,4.8 out of 5 stars,"10,260",https://www.amazon.com/SAMSUNG-500GB-Internal-MZ-77E500B-AM/dp/B08QBMD6P4/ref=sr_1_6?dchild=1&keywords=ssd&qid=1635880940&sr=8-6
SanDisk,"SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 535 MB/s - SDSSDA-1T00-G26 ","SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 535 MB/s - SDSSDA-1T00-G26 ",$84.99,4.7 out of 5 stars,"56,950",https://www.amazon.com/SanDisk-SSD-PLUS-Internal-SDSSDA-1T00-G26/dp/B07D998212/ref=sr_1_7?dchild=1&keywords=ssd&qid=1635880940&sr=8-7
Crucial,"MX500 2TB 3D NAND SATA 2.5 Inch Internal SSD, up to 560MB/s - CT2000MX500SSD1 ","Crucial MX500 2TB 3D NAND SATA 2.5 Inch Internal SSD, up to 560MB/s - CT2000MX500SSD1 ",$187.99,4.8 out of 5 stars,"46,155",https://www.amazon.com/Crucial-MX500-NAND-SATA-Internal/dp/B003J5JB12/ref=sr_1_8?dchild=1&keywords=ssd&qid=1635880940&sr=8-8
SAMSUNG,(MZ-V8V1T0B/AM) 980 SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology ,SAMSUNG (MZ-V8V1T0B/AM) 980 SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology ,$119.99,4.8 out of 5 stars,"4,267",https://www.amazon.com/SAMSUNG-MZ-V8V1T0B-AM-980-SSD/dp/B08V83JZH4/ref=sr_1_9?dchild=1&keywords=ssd&qid=1635880940&sr=8-9
SAMSUNG,970 EVO Plus SSD 2TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S2T0B/AM) ,SAMSUNG 970 EVO Plus SSD 2TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S2T0B/AM) ,$239.99,4.9 out of 5 stars,"28,863",https://www.amazon.com/Samsung-970-EVO-Plus-MZ-V7S2T0B/dp/B07MFZXR1B/ref=sr_1_10?dchild=1&keywords=ssd&qid=1635880940&sr=8-10
Seagate,"FireCuda 530 2TB Solid State Drive - M.2 PCIe Gen4 ×4 NVMe 1.4, speeds up to 7300 MB/s, Compatible PS5 Internal SSD, 3D TLC NAND, 1275 TBW, 1.8M MTBF, 3yr Rescue Services (ZP2000GM30013) ","Seagate FireCuda 530 2TB Solid State Drive - M.2 PCIe Gen4 ×4 NVMe 1.4, speeds up to 7300 MB/s, Compatible PS5 Internal SSD, 3D TLC NAND, 1275 TBW, 1.8M MTBF, 3yr Rescue Services (ZP2000GM30013) ",$419.99,4.8 out of 5 stars,"1,379",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06328161KJ36YHO8CK7H&url=%2FSeagate-FireCuda-Solid-State-Drive%2Fdp%2FB08Q55DGGY%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880940%26sr%3D8-11-spons%26psc%3D1&qualifier=1635880940&id=3834662368688801&widgetName=sp_mtf
PNY,"CS900 120GB 3D NAND 2.5"" SATA III Internal Solid State Drive (SSD) - (SSD7CS900-120-RB) ","PNY CS900 120GB 3D NAND 2.5"" SATA III Internal Solid State Drive (SSD) - (SSD7CS900-120-RB) ",$21.99,4.7 out of 5 stars,"15,694",https://www.amazon.com/PNY-CS900-120GB-Internal-Solid/dp/B0722XPTL6/ref=sr_1_12?dchild=1&keywords=ssd&qid=1635880940&sr=8-12
SanDisk,"1TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-1T00-G25 ","SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-1T00-G25 ",$129.99,4.8 out of 5 stars,"46,708",https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_13?dchild=1&keywords=ssd&qid=1635880940&sr=8-13
Crucial,P2 1TB 3D NAND NVMe PCIe M.2 SSD Up to 2400MB/s - CT1000P2SSD8 ,Crucial P2 1TB 3D NAND NVMe PCIe M.2 SSD Up to 2400MB/s - CT1000P2SSD8 ,$83.99,4.8 out of 5 stars,"10,631",https://www.amazon.com/Crucial-NAND-NVMe-PCIe-2400MB/dp/B089DNM8LR/ref=sr_1_14?dchild=1&keywords=ssd&qid=1635880940&sr=8-14
WD_BLACK,"1TB SN750 SE NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 3,600 MB/s - WDS100T1B0E ","WD_BLACK 1TB SN750 SE NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 3,600 MB/s - WDS100T1B0E ",$99.99,4.8 out of 5 stars,"13,095",https://www.amazon.com/WD_BLACK-SN750-Internal-Gaming-Solid/dp/B095HB3L6G/ref=sr_1_15?dchild=1&keywords=ssd&qid=1635880940&sr=8-15
Crucial,"BX500 1TB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT1000BX500SSD1 ","Crucial BX500 1TB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT1000BX500SSD1 ",$84.99,4.8 out of 5 stars,"41,319",https://www.amazon.com/Crucial-BX500-NAND-2-5-Inch-Internal/dp/B07YD579WM/ref=sr_1_17?dchild=1&keywords=ssd&qid=1635880940&sr=8-17
WD_BLACK,"4TB AN1500 NVMe Internal Gaming Solid State Drive SSD Add-In-Card - Gen3 PCIe, Up to 6500 MB/s - WDS400T1X0L ","WD_BLACK 4TB AN1500 NVMe Internal Gaming Solid State Drive SSD Add-In-Card - Gen3 PCIe, Up to 6500 MB/s - WDS400T1X0L ",$999.99,4.1 out of 5 stars,85,https://www.amazon.com/WD_Black-AN1500-Internal-Gaming-Card/dp/B08HBPMPZ2/ref=sr_1_18?dchild=1&keywords=ssd&qid=1635880940&sr=8-18
SP,"256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SP256GBSS3A55S25) ","SP 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive (SP256GBSS3A55S25) ",$27.99,4.7 out of 5 stars,"6,569",https://www.amazon.com/Silicon-Power-Performance-Internal-SP256GBSS3A55S25/dp/B075RJS55D/ref=sr_1_19?dchild=1&keywords=ssd&qid=1635880940&sr=8-19
SK,hynix Gold S31 500GB SATA Gen3 2.5 inch Internal SSD | SSD 500GB | Up to 560MB/S | Solid State Drive | Compact 2.5' SSD Form Factor SK hynix SSD | Internal Solid State Drive | SATA SSD ,SK hynix Gold S31 500GB SATA Gen3 2.5 inch Internal SSD | SSD 500GB | Up to 560MB/S | Solid State Drive | Compact 2.5' SSD Form Factor SK hynix SSD | Internal Solid State Drive | SATA SSD ,$56.99,4.7 out of 5 stars,"12,393",https://www.amazon.com/SK-hynix-Gold-500GB-Internal/dp/B07SK5BNM1/ref=sr_1_20?dchild=1&keywords=ssd&qid=1635880940&sr=8-20
Crucial,"P5 Plus 500GB PCIe 4.0 3D NAND NVMe M.2 SSD, up to 6600MB/s - CT500P5PSSD8 ","Crucial P5 Plus 500GB PCIe 4.0 3D NAND NVMe M.2 SSD, up to 6600MB/s - CT500P5PSSD8 ",$90.99,4.8 out of 5 stars,"5,774",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A055385727T2KW56E675&url=%2FCrucial-Plus-500GB-PCIe-6600MB%2Fdp%2FB098W1NDV2%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880940%26sr%3D8-21-spons%26psc%3D1&qualifier=1635880940&id=3834662368688801&widgetName=sp_btf
U32,Shadow Dura 4TB USB-C Rugged Portable Solid State Drive SSD ,U32 Shadow Dura 4TB USB-C Rugged Portable Solid State Drive SSD ,$539.00,4.6 out of 5 stars,177,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04659873NEEO4TU2Z97N&url=%2FShadow-USB-C-Rugged-Portable-Solid%2Fdp%2FB086WNFLYH%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880940%26sr%3D8-22-spons%26psc%3D1&qualifier=1635880940&id=3834662368688801&widgetName=sp_btf
SAMSUNG,970 EVO Plus SSD 500GB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S500B/AM) ,SAMSUNG 970 EVO Plus SSD 500GB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S500B/AM) ,$79.99,4.9 out of 5 stars,"28,863",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05759315FJL68EE3PPS&url=%2FSamsung-970-EVO-Plus-MZ-V7S500B%2Fdp%2FB07M7Q21N7%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880944%26sr%3D8-17-spons%26psc%3D1&qualifier=1635880944&id=2317501535685174&widgetName=sp_atf_next
Kingston,XS2000 500G High Performance Portable SSD | Pocket-Sized | USB 3.2 Gen 2x2 | External Solid State Drive | Up to 2000MB/s | SXS2000/500G ,Kingston XS2000 500G High Performance Portable SSD | Pocket-Sized | USB 3.2 Gen 2x2 | External Solid State Drive | Up to 2000MB/s | SXS2000/500G ,$99.99,4.3 out of 5 stars,9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0618182RVFA30CB1T2&url=%2FKingston-500G-Performance-Pocket-Sized-SXS2000%2Fdp%2FB09F5WJV8R%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dssd%26qid%3D1635880944%26sr%3D8-18-spons%26psc%3D1&qualifier=1635880944&id=2317501535685174&widgetName=sp_atf_next
Western,"Digital 1TB WD Green Internal PC SSD Solid State Drive - SATA III 6 Gb/s, 2.5""/7mm, Up to 550 MB/s - WDS100T2G0A ","Western Digital 1TB WD Green Internal PC SSD Solid State Drive - SATA III 6 Gb/s, 2.5""/7mm, Up to 550 MB/s - WDS100T2G0A ",$79.99,4.8 out of 5 stars,"5,487",https://www.amazon.com/Green-1TB-Internal-SSD-WDS100T2G0A/dp/B07NNRTTCM/ref=sr_1_19?dchild=1&keywords=ssd&qid=1635880944&sr=8-19
SanDisk,"Ultra 3D NAND 500GB Internal SSD - SATA III 6 Gb/s, 2.5 Inch /7 mm, Up to 560 MB/s - SDSSDH3-500G-G25 ","SanDisk Ultra 3D NAND 500GB Internal SSD - SATA III 6 Gb/s, 2.5 Inch /7 mm, Up to 560 MB/s - SDSSDH3-500G-G25 ",$54.00,4.8 out of 5 stars,"21,867",https://www.amazon.com/SanDisk-Ultra-NAND-500GB-Internal/dp/B072R78B6Q/ref=sr_1_20?dchild=1&keywords=ssd&qid=1635880944&sr=8-20
Samsung,SSD 860 EVO 1TB 2.5 Inch SATA III Internal SSD (MZ-76E1T0B/AM) ,Samsung SSD 860 EVO 1TB 2.5 Inch SATA III Internal SSD (MZ-76E1T0B/AM) ,$199.99,4.9 out of 5 stars,"71,129",https://www.amazon.com/Samsung-Inch-Internal-MZ-76E1T0B-AM/dp/B078DPCY3T/ref=sr_1_21?dchild=1&keywords=ssd&qid=1635880944&sr=8-21
Samsung,"T7 Portable SSD 2TB - Up to 1050MB/s - USB 3.2 External Solid State Drive, Red (MU-PC2T0R/AM) ","Samsung T7 Portable SSD 2TB - Up to 1050MB/s - USB 3.2 External Solid State Drive, Red (MU-PC2T0R/AM) ",$299.99,4.8 out of 5 stars,"12,072",https://www.amazon.com/SAMSUNG-Portable-SSD-2TB-MU-PC2T0R/dp/B0874YHTXW/ref=sr_1_22?dchild=1&keywords=ssd&qid=1635880944&sr=8-22
Western,"Digital 500GB WD Blue SN550 NVMe Internal SSD - Gen3 x4 PCIe 8Gb/s, M.2 2280, 3D NAND, Up to 2,400 MB/s - WDS500G2B0C ","Western Digital 500GB WD Blue SN550 NVMe Internal SSD - Gen3 x4 PCIe 8Gb/s, M.2 2280, 3D NAND, Up to 2,400 MB/s - WDS500G2B0C ",$44.99,4.8 out of 5 stars,"14,275",https://www.amazon.com/Blue-SN550-500GB-NVMe-Internal/dp/B07YFF3JCN/ref=sr_1_23?dchild=1&keywords=ssd&qid=1635880944&sr=8-23
